title,description,category,condition,original_price,final_price
MacBook Pro 128G 2020款,MacBook Pro 128G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/other_electronics,fair,5390,2609
高数 同济版 第七版,高数 同济版 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/reference,good,40,27
水壶,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/cleaning,like_new,404,287
跑步鞋,跑步鞋，在学校操场使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/cycling,new,456,374
羽绒服 尺码S,羽绒服 尺码S，洗护得当，颜色保持良好，无明显污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/top,like_new,611,439
电饭煲（日用百货/清洁用品）,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/cleaning,like_new,398,272
专业参考书 最新版（图书教材/小说文学）,专业参考书 最新版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/novel,like_new,94,49
蓝牙耳机 64G 2023款（电子产品/耳机/音响）,蓝牙耳机 64G 2023款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/headphone,fair,4214,1886
专业参考书 第七版（图书教材/专业书籍）,专业参考书 第七版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/professional,new,64,50
线性代数 最新版（图书教材/语言学习）,线性代数 最新版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/language,fair,54,14
电饭煲,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/storage_box,good,319,203
运动护膝,运动护膝，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/outdoor,fair,50,15
水壶（日用百货/其他日用品）,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/other_daily,good,167,89
小型冰箱,小型冰箱，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，看中的话可以小刀一点。,other/toy,like_new,2496,1893
篮球（运动用品/游泳用品）,篮球，在学校体育馆使用，整体状态很好，适合日常锻炼，也可以邮寄，运费自理。,sports/swimming,like_new,238,144
显示器 256G 2022款（电子产品/其他电子产品）,显示器 256G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/other_electronics,like_new,5075,3511
高数 同济版 考研专用,高数 同济版 考研专用，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/other_books,good,127,75
iPhone 13 64G 2022款,iPhone 13 64G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/desktop,good,6889,3563
咖啡粉,咖啡粉，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,good,130,86
iPhone 14 256G 2022款（电子产品/存储设备）,iPhone 14 256G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/storage,fair,6825,2480
iPhone 13 64G 2020款,iPhone 13 64G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/other_electronics,good,109,68
降噪耳机 128G 2021款,降噪耳机 128G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/other_electronics,like_new,405,291
尤克里里,尤克里里，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，校内自提优先。,other/furniture,new,1115,891
哑铃套装,哑铃套装，在学校操场使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/cycling,good,879,425
手办模型,手办模型，在校期间使用，整体成色良好，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/appliance,good,1566,957
运动鞋 尺码L,运动鞋 尺码L，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/top,new,420,369
饮料套餐（食品饮料/其他食品）,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,poor,37,10
概率论教程 最新版（图书教材/考试用书）,概率论教程 最新版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/exam,good,34,15
画板,画板，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/appliance,like_new,2062,1233
宿舍四件套,宿舍四件套，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/skincare,like_new,300,183
双肩包 尺码XL,双肩包 尺码XL，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/shoes,like_new,365,254
降噪耳机 256G 2020款,降噪耳机 256G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/laptop,new,3792,2744
华为 Mate 64G 2023款,华为 Mate 64G 2023款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/tablet,fair,751,314
机械键盘 256G 2021款（电子产品/笔记本电脑）,机械键盘 256G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/laptop,new,4997,4151
足球（运动用品/球类用品）,足球，在学校操场使用，整体状态很好，适合日常锻炼，也可以邮寄，运费自理。,sports/ball,like_new,1481,1171
瑜伽垫（运动用品/瑜伽用品）,瑜伽垫，在学校操场使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/yoga,like_new,401,215
经典小说 考研专用,经典小说 考研专用，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/reference,like_new,173,92
哑铃套装,哑铃套装，在学校操场使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/fitness,poor,357,54
